brand,car_count,url
AC Schnitzer,2,https://car.autohome.com.cn//price/brand-117.html
ALPINA,1,https://car.autohome.com.cn//price/brand-276.html
AUXUN傲旋,2,https://car.autohome.com.cn//price/brand-378.html
阿尔法・罗密欧,32,https://car.autohome.com.cn//price/brand-34.html
阿斯顿・马丁,81,https://car.autohome.com.cn//price/brand-35.html
爱驰,4,https://car.autohome.com.cn//price/brand-327.html
奥迪,1007,https://car.autohome.com.cn//price/brand-33.html
巴博斯,16,https://car.autohome.com.cn//price/brand-140.html
宝骏,266,https://car.autohome.com.cn//price/brand-120.html
宝马,1121,https://car.autohome.com.cn//price/brand-15.html
宝骐汽车,1,https://car.autohome.com.cn//price/brand-351.html
宝沃,75,https://car.autohome.com.cn//price/brand-231.html
保时捷,264,https://car.autohome.com.cn//price/brand-40.html
北京,75,https://car.autohome.com.cn//price/brand-27.html
北京汽车,157,https://car.autohome.com.cn//price/brand-173.html
北京清行,2,https://car.autohome.com.cn//price/brand-333.html
北汽昌河,167,https://car.autohome.com.cn//price/brand-79.html
北汽道达,3,https://car.autohome.com.cn//price/brand-301.html
北汽幻速,99,https://car.autohome.com.cn//price/brand-203.html
北汽威旺,135,https://car.autohome.com.cn//price/brand-143.html
北汽新能源,61,https://car.autohome.com.cn//price/brand-208.html
北汽制造,137,https://car.autohome.com.cn//price/brand-154.html
奔驰,1149,https://car.autohome.com.cn//price/brand-36.html
奔腾,268,https://car.autohome.com.cn//price/brand-95.html
本田,639,https://car.autohome.com.cn//price/brand-14.html
比德文汽车,3,https://car.autohome.com.cn//price/brand-387.html
比速汽车,20,https://car.autohome.com.cn//price/brand-271.html
比亚迪,667,https://car.autohome.com.cn//price/brand-75.html
标致,473,https://car.autohome.com.cn//price/brand-13.html
别克,556,https://car.autohome.com.cn//price/brand-38.html
宾利,87,https://car.autohome.com.cn//price/brand-39.html
铂驰,6,https://car.autohome.com.cn//price/brand-392.html
博郡汽车,2,https://car.autohome.com.cn//price/brand-362.html
布加迪,3,https://car.autohome.com.cn//price/brand-37.html
长安,688,https://car.autohome.com.cn//price/brand-76.html
长安跨越,181,https://car.autohome.com.cn//price/brand-299.html
长安欧尚,232,https://car.autohome.com.cn//price/brand-163.html
长安轻型车,549,https://car.autohome.com.cn//price/brand-294.html
长城,434,https://car.autohome.com.cn//price/brand-77.html
车驰汽车,5,https://car.autohome.com.cn//price/brand-366.html
成功汽车,40,https://car.autohome.com.cn//price/brand-196.html
DS,111,https://car.autohome.com.cn//price/brand-169.html
大乘汽车,21,https://car.autohome.com.cn//price/brand-341.html
大发,13,https://car.autohome.com.cn//price/brand-92.html
大运,1,https://car.autohome.com.cn//price/brand-405.html
大众,1928,https://car.autohome.com.cn//price/brand-1.html
道奇,25,https://car.autohome.com.cn//price/brand-41.html
电咖,6,https://car.autohome.com.cn//price/brand-280.html
东风,391,https://car.autohome.com.cn//price/brand-32.html
东风・瑞泰特,2,https://car.autohome.com.cn//price/brand-326.html
东风风度,21,https://car.autohome.com.cn//price/brand-187.html
东风风光,173,https://car.autohome.com.cn//price/brand-259.html
东风风神,220,https://car.autohome.com.cn//price/brand-113.html
东风风行,598,https://car.autohome.com.cn//price/brand-165.html
东风富康,5,https://car.autohome.com.cn//price/brand-406.html
东风小康,208,https://car.autohome.com.cn//price/brand-142.html
东南,297,https://car.autohome.com.cn//price/brand-81.html
法拉利,30,https://car.autohome.com.cn//price/brand-42.html
菲亚特,109,https://car.autohome.com.cn//price/brand-11.html
丰田,1027,https://car.autohome.com.cn//price/brand-3.html
福迪,98,https://car.autohome.com.cn//price/brand-141.html
福汽启腾,22,https://car.autohome.com.cn//price/brand-197.html
福特,850,https://car.autohome.com.cn//price/brand-8.html
福田,1126,https://car.autohome.com.cn//price/brand-96.html
GMC,108,https://car.autohome.com.cn//price/brand-112.html
观致,103,https://car.autohome.com.cn//price/brand-152.html
光冈,3,https://car.autohome.com.cn//price/brand-116.html
广汽传祺,294,https://car.autohome.com.cn//price/brand-82.html
广汽吉奥,162,https://car.autohome.com.cn//price/brand-108.html
广汽集团,15,https://car.autohome.com.cn//price/brand-329.html
广汽新能源,29,https://car.autohome.com.cn//price/brand-313.html
国机智骏,11,https://car.autohome.com.cn//price/brand-369.html
国金汽车,7,https://car.autohome.com.cn//price/brand-304.html
HYCAN合创,5,https://car.autohome.com.cn//price/brand-376.html
哈飞,75,https://car.autohome.com.cn//price/brand-24.html
哈弗,732,https://car.autohome.com.cn//price/brand-181.html
海格,59,https://car.autohome.com.cn//price/brand-150.html
